age,education_num,hours_per_week,capital_gain,capital_loss,occupation,marital_status,gender,race,income
54,13,38,0,0,0,6,1,4,0
61,12,34,0,0,9,0,1,4,0
55,7,31,2000,0,0,6,1,4,0
31,11,32,0,0,6,0,1,4,0
51,8,36,2000,0,7,0,0,4,0
45,4,49,0,0,0,0,0,4,0
50,13,29,15000,0,5,1,0,0,0
50,11,42,5000,1000,6,1,0,4,0
53,13,25,0,0,2,0,1,4,1
58,10,27,0,0,2,4,0,4,0
56,6,42,0,0,7,6,1,0,0
34,11,40,0,0,10,0,1,4,0
54,11,46,0,0,13,1,1,4,1
57,9,70,0,1000,11,4,0,4,0
75,9,50,0,0,3,6,0,4,0
50,11,26,0,0,11,4,0,4,0
48,9,37,0,0,7,1,1,4,0
48,11,53,0,0,3,6,1,4,0
48,10,55,0,0,3,1,1,4,0
49,10,42,0,0,6,6,1,4,0
40,9,57,0,0,8,0,1,4,0
50,6,36,0,0,9,4,0,3,0
47,8,29,0,0,3,0,1,4,0
43,9,27,0,0,0,6,1,4,0
50,6,22,0,0,7,4,0,4,0
60,8,41,0,0,9,0,1,4,0
45,11,49,0,0,10,6,1,4,1
57,8,29,0,0,0,6,1,4,0
50,12,34,0,0,7,6,0,4,0
39,12,40,0,0,2,1,1,0,0
41,6,25,0,0,5,6,0,4,0
71,15,38,0,0,1,6,1,4,1
43,9,64,0,0,6,1,0,0,0
76,6,28,0,0,0,1,0,4,0
61,12,35,0,0,13,4,1,4,0
56,10,24,0,0,1,6,1,4,0
63,4,33,0,0,13,0,1,4,0
41,8,24,0,0,8,6,0,1,0
59,8,41,0,0,1,0,1,4,0
85,13,27,0,0,8,1,1,4,1
43,9,46,0,0,3,6,1,2,0
67,9,34,0,0,10,6,0,4,0
47,11,35,0,0,11,6,0,0,0
50,9,61,0,0,5,2,1,4,0
50,9,41,0,0,9,0,1,4,0
33,13,40,0,0,0,1,1,4,1
33,11,37,0,0,1,0,1,4,0
60,8,41,0,0,7,4,1,4,0
42,14,34,0,2500,4,1,1,4,1
48,14,23,0,0,3,0,0,4,0
69,12,50,0,0,6,5,1,4,1
43,12,40,0,0,0,1,0,4,0
38,12,30,0,0,1,4,0,4,0
65,10,25,0,0,9,0,1,4,0
70,13,36,0,0,1,1,1,4,1
50,9,49,0,0,12,0,1,4,0
43,9,37,0,0,0,6,0,0,0
63,7,26,0,0,1,0,0,4,0
52,7,47,0,0,8,1,1,0,0
39,9,58,0,0,10,1,0,4,0
48,9,28,0,0,7,6,1,4,0
37,9,50,0,0,12,0,0,4,0
49,15,28,0,0,1,1,1,4,1
63,9,57,0,0,11,0,1,4,0
65,10,28,0,0,1,0,0,4,0
41,6,42,0,0,5,0,1,4,0
35,8,35,0,0,4,0,0,3,0
57,7,33,0,0,11,0,0,4,0
43,13,46,1000,1500,5,0,1,0,0
56,11,46,0,0,1,6,1,4,1
37,8,38,0,2000,10,0,0,4,0
51,13,42,0,0,3,4,1,4,1
48,12,36,0,0,3,0,0,0,0
55,13,65,0,0,2,2,0,4,0
42,11,35,0,0,5,1,1,4,0
38,15,54,0,0,0,6,1,4,1
34,6,44,0,0,8,0,1,4,0
37,11,57,0,0,2,4,1,0,0
56,11,35,0,0,6,6,1,4,0
43,8,48,0,0,0,4,1,2,0
42,11,33,0,0,0,4,0,4,0
64,8,21,0,0,1,0,1,4,1
51,7,46,0,0,3,0,1,4,0
32,14,26,0,0,6,0,1,0,1
73,10,32,0,0,0,0,1,4,1
35,8,28,0,0,13,0,0,4,0
87,9,30,2000,0,2,1,0,4,0
60,6,33,0,0,9,0,1,4,0
38,15,26,0,0,11,0,0,4,1
53,7,38,0,0,0,6,1,4,0
87,10,43,0,0,7,1,1,2,0
50,11,25,0,0,1,0,1,4,1
36,10,51,7000,0,0,0,1,4,1
