age,job,marital,education,balance,housing,duration,campaign,subscribed
23,8,1,3,-1412,1,815,29,0
39,3,0,0,778,1,73,15,0
21,7,2,0,-4624,1,157,2,1
43,2,1,1,165,1,433,3,0
43,1,1,2,-6127,0,101,2,0
36,11,1,1,3350,1,53,12,0
40,3,1,0,1527,0,89,20,0
44,11,2,0,1007,1,18,3,0
50,7,0,3,2120,0,307,7,0
37,2,1,0,-4719,1,128,6,0
59,0,2,3,4379,0,432,4,0
27,3,0,2,-502,1,321,11,0
59,7,0,3,1643,1,10,24,0
18,4,0,1,5594,1,217,9,0
35,7,1,1,8268,1,31,5,0
56,10,0,0,4894,0,1,3,1
43,0,1,2,4679,1,22,28,0
48,4,1,1,3015,1,114,2,0
50,7,1,2,5132,1,324,27,0
48,5,1,1,5638,0,242,10,0
25,3,0,0,7219,0,243,19,0
30,10,1,1,542,0,69,11,0
39,4,2,3,7759,0,64,8,1
44,10,2,3,2886,0,189,13,0
44,3,1,0,5358,1,369,8,0
38,10,2,3,-5317,1,631,17,0
36,9,0,1,1139,1,59,1,0
56,1,0,1,3959,0,212,16,0
43,2,2,0,6265,1,121,1,0
45,3,1,2,2216,0,16,9,0
38,3,2,0,852,1,548,4,0
35,0,2,1,2744,0,119,23,0
45,9,0,2,3546,1,60,20,0
52,9,1,3,4276,0,558,13,1
54,3,2,1,-382,1,113,2,0
45,5,2,2,-425,1,568,28,0
26,11,2,0,1137,1,175,5,0
49,11,2,2,3114,0,228,3,0
23,1,0,3,5220,0,567,21,1
28,10,0,3,4933,1,692,24,0
33,9,0,2,1739,0,326,15,0
32,2,2,2,1929,1,396,10,1
50,6,2,0,-1690,1,171,7,0
45,7,0,0,4758,0,36,10,0
47,2,2,2,-378,1,87,7,0
33,11,2,0,951,1,559,29,0
42,8,1,0,1651,1,200,21,0
54,0,0,1,-2714,0,368,1,0
27,2,2,3,413,1,526,27,0
35,2,2,1,3561,0,100,2,0
34,3,2,3,1740,0,259,7,1
29,11,0,3,1005,1,312,28,1
43,4,2,3,4156,0,239,6,0
48,4,1,1,2701,1,3,18,0
44,2,2,1,4841,1,274,18,0
42,0,2,3,3316,0,19,29,0
58,4,0,3,663,1,329,21,0
32,9,1,1,433,1,107,1,0
40,7,0,0,-4962,0,103,5,0
55,3,1,2,2107,0,155,21,0
48,2,2,3,2062,0,430,4,0
23,6,1,2,4602,1,406,1,1
67,10,1,0,867,0,192,22,0
51,5,2,1,3140,0,1,24,0
49,4,2,0,4130,0,79,10,0
31,7,0,3,8935,0,38,9,1
33,7,1,0,4495,1,117,1,0
54,6,0,1,3055,0,125,26,0
44,8,0,0,3150,1,404,26,0
41,5,2,1,6971,1,142,11,0
50,1,1,2,1896,0,947,17,1
25,6,2,0,-1865,1,277,21,0
46,8,2,1,365,0,250,26,0
38,4,1,3,-2781,1,32,14,0
53,1,2,0,-2233,1,401,17,0
39,0,2,2,-1048,0,29,2,0
34,9,0,3,466,0,40,25,0
31,8,2,3,4660,0,30,27,0
47,6,1,1,1942,1,39,28,0
22,4,0,3,3640,1,22,11,0
59,10,1,1,2314,0,163,11,0
40,6,1,1,2243,1,656,18,1
45,2,0,2,-569,0,552,27,0
21,1,0,3,4119,1,314,26,1
30,5,0,1,-1232,0,204,3,0
76,1,0,3,2270,0,41,18,0
42,5,0,2,1146,1,86,25,0
46,4,0,0,-2546,0,536,24,0
24,0,1,0,2145,1,127,29,0
18,4,0,1,1986,1,248,26,1
31,6,2,3,2101,0,636,11,1
52,9,1,0,-103,0,285,4,0
52,0,0,1,3491,1,153,20,0
30,10,1,0,3484,0,70,28,0
34,8,2,0,4735,0,196,6,0
41,3,1,1,8481,0,539,21,0
18,11,1,3,1719,0,799,15,0
43,3,0,2,560,0,300,11,0
50,9,1,0,1783,0,155,28,0
51,8,1,3,5056,0,698,29,0
42,2,0,3,8708,1,110,19,0
35,2,1,0,3692,1,543,25,0
43,9,1,1,2161,1,284,24,1
36,7,1,1,-5055,0,366,12,0
27,9,1,1,6832,1,324,25,0
35,7,2,3,1665,0,260,21,0
36,3,2,3,1363,1,38,24,0
67,3,2,3,3554,0,117,18,0
33,4,0,0,4835,0,363,29,0
41,7,0,2,1674,0,110,20,0
38,5,0,1,1500,1,226,17,0
30,1,1,2,7570,0,946,13,0
44,2,0,1,1552,1,449,17,1
25,5,0,1,2231,0,109,9,0
